sroilga tashrif buyurdi.", "paraphrase_2": "Yaqin Sharqdagi tinchlik muzokaralarini qo‘llab-quvvatlash uchun Robert Geyts va Jorj Mitchell Isroilda dushanba kuni ko‘rishdilar."},
{"text": "Britaniyalik aktrisa va faol Joanna Lumli Himoloy xalqiga kelganidan bir kun oʻtib, dushanba kuni Nepal rahbarlari bilan uchrashadi va Gurxa mitingida nutq soʻzlaydi.", "paraphrase_1": "Joanna Lumli, buyuk Britaniyalik aktrisa va faol, Himoloyni ziyorat qilganidan soʻng, dushanba kuni Nepal hukumati vakillari bilan koʻrishadi hamda Gurxalar yigʻinida maʼruza qiladi.", "paraphrase_2": "Dushanba kuni Britaniyalik aktrisa va faol Joanna Lumli Nepal rahbariyati bilan uchrashuv oʻtkazadi va Gurxa mitingida soʻzga chiqadi, bu voqea uning Himoloyga tashrifidan bir kun keyin boʻlib oʻtadi."},
{"text": "Tayvan aktsiyalari narxlari dushanba kuni 3,68 foizga oshdi, chunki aylanma xarid bozor kassasining 6,994 punktdan oshib ketishi dilerlar tomonidan qayd etildi.", "paraphrase_1": "Dushanba kuni Tayvan fond birjasida narxlar 3,68 foizga ko‘tarildi, bu esa aylanma xarid bozor kassasining 6,994 punktga oshishiga bog‘liq edi, deydi dilerlar.", "paraphrase_2": "Dilerlarning xabar berishicha, Tayvan aktsiyalarining narxi dushanba kuni 3,68 foizga oshib, aylanma xarid bozor kassasini 6,994 punktga yetkazdi."},
{"text": "Dushanba kuni Samsung Electronics kompaniyasi Janubiy Koreya firmalari guruhiga smartfonlar va raqamli televizorlar uchun ishlatiladigan ilg", "paraphrase_1": "Samsung Electronics dushanba kuni Janubiy Koreya kompaniyalari bilan hamkorlikda smartfon va televizorlar uchun zamonaviy chip ishlab chiqishni boshlaydi.", "paraphrase_2": "Dushanba kungi voqea, Samsung Electronics Janubiy Koreya kompaniyalari konsortsiumiga smartfonlar va raqamli televizorlardagi ilg‘or yarimo‘tkazgichlarni yaratishda yetakchilik qiladi."},
{"text": "Filippin aktsiyalari dushanba kuni 5,43 foizga qimmatlashdi, prezident Gloriya Arroyo kunning oxirida o", "paraphrase_1": "Dushanba kuni Filippin aktsiyalari 5,43 foizga o‘sdi, bu prezident Arroyo ijobiy iqtisodiy bayonotlari bilan bog‘liq, deydi dilerlar.", "paraphrase_2": "Dilerlarning so‘zlariga ko‘ra, prezident Gloriya Arroyo tomonidan berilgan ijobiy iqtisodiy bayonotlar Filippin aktsiyalarini dushanba kuni 5,43 foizga qimmatlashtirdi."},
{"text": "Shanxay fond birjasining deyarli bir yil ichida birinchi Yangi listingidagi savdo dushanba kuni debyutdan ko", "paraphrase_1": "Dushanba kuni Shanxay fond birjasida deyarli bir yildan so‘ng birinchi marta yangi kompaniya aksiyalari savdosi boshlangandan so‘ng to‘xtatildi, chunki aktsiyalar qiymati uch barobarga oshdi.", "paraphrase_2": "Shanxay birjasida aksiyalar narxi uch baravar o‘sgani sababli yangi aksiyalar savdosi dushanba kuni qisqa muddatga to‘xtatildi."},
{"text": "Dushanba kuni Pokistonda uch million odamni shariat qonuni ostiga qoʻygan, ammo Tolibon oʻrtasidagi yangi janglar tufayli barbod boʻlgan muvaffaqiyatsiz tinchlik kelishuviga vositachilik qilgan qatʼiy ruhoniy hibsda saqlanmoqda.", "paraphrase_1": "Tolibon janglari sababli tinchlik kelishuvlari muvaffaqiyatsiz yakun topgan, Pokistonda shariat qonuni bilan bog‘liq bo‘lgan muhim ruhoniy hibsga olingan.", "paraphrase_2": "Qatʼiy ruhoniy, Dushanba kuni Pokistonda uch million kishiga shariat qonunini joriy etishga urinib, Tolibonlar bilan tinchlik kelishuvlarini muvaffaqiyatsiz yakunlagani uchun hibsga olingan."},
{"text": "Filippin aktsiyalari narxi dushanba kuni 8,22 foizga oshdi, prezident Gloriya Arroyo kunning oxirida o", "paraphrase_1": "Dilerlarning aytishicha, prezident Gloriya Arroyo tomonidan berilgan ijobiy iqtisodiy bayonotlar Filippin aktsiyalari narxining dushanba kuni 8,22 foizga oshishiga sabab bo‘ldi.", "paraphrase_2": "Prezident Gloriya Arroyo dushanba kuni davlat murojaatida ijobiy iqtisodiy bayonotlar bergani sababli, Filippin fond birjasida aktsiyalar narxi 8,22 foizga o‘sdi, deya xabar berishdi dilerlar."},
{"text": "Gonkong aktsiyalari narxi dushanba kuni ertalab 5,38 foizga yuqori likvidlik va Xitoy iqtisodiyotiga ishonchning yangilanishi bilan yakunlandi, dedi dilerlar.", "paraphrase_1": "Dilerlarning so‘zlariga ko‘ra, Gonkong aktsiyalari narxi dushanba kuni ertalab Xitoy iqtisodiyotiga ishonch ortishi va yuqori likvidlik sabab 5,38 foizga oshdi.", "paraphrase_2": "Xitoy iqtisodiyotiga bo‘lgan ishonchning tiklanishi va likvidlikning ortishi Gonkong aktsiyalari narxining dushanba kuni ertalab 5,38 foizga ko‘tarilishiga olib keldi, deydi dilerlar."},
{"text": "Dilerlarning taʼkidlashicha, Xitoy aksiyalari narxi dushanba kuni tushga qadar 0,01 foizga koʻtarildi, chunki Sichuan Expresswayning ajoyib debyuti bozor boʻylab xarid qiziqishlarini uygʻotdi.", "paraphrase_1": "Dushanba kuni Xitoy bozorida aksiyalar narxi 0,01 foizga oshdi, bu Sichuan Expresswayning muvaffaqiyatli birinchi savdosidan kelib chiqdi, deydi dilerlar.", "paraphrase_2": "Sichuan Expresswayning bozorga kirishi Xitoy aksiyalariga boʻlgan talabni oshirdi va aksiyalar narxi dushanba kuni tushgacha 0,01 foizga koʻtarildi, deb xabar berdi dilerlar."},
{"text": "Birlashgan Millatlar Tashkilotining Bosh kotibi Pan Gi Mun dushanba kuni Mo‘g‘uliston rahbarlari bilan uchrashib, global isish oqibatlari tufayli qashshoq va dengizga chiqish imkoni bo‘lmagan Mo‘g‘ulistonning o‘zgarishlarga moslashish masalalarini muhokama qilishi kerak edi.", "paraphrase_1": "Dushanba kuni Pan Gi Mun Mo‘g‘uliston yetakchilari bilan global isishga moslashuv bo‘yicha fikr almashishi rejalashtirilgan edi, ayniqsa, Mo‘g‘uliston dengizga chiqish imkoniyati yo‘qligi va iqtisodiy qiyinchiliklariga e’tibor qaratildi.", "paraphrase_2": "BMT Bosh kotibi Pan Gi Mun Mo‘g‘uliston rahbarlari bilan global isishning ta’sirini engillashtirish va mamlakatning o‘zgarishlarga moslashish strategiyalarini muhokama qilish uchun dushanba kuni uchrashdi."},
{"text": "Siyosiy keskinliklar yumshab, savdo aloqalari avj olayotgan bir paytda, Xitoy o", "paraphase_1": "Xitoy Tayvannni oʻzlashtirishga harakat qilmoqda, ammo savdo va siyosiy aloqalar yaxshilanganiga qaramay, bu yoʻlda muammolarga duch kelmoqda.", "paraphrase_2": "Savdo aloqalari rivojlanayotgan va siyosiy ziddiyatlar kamayayotgan boʻlsada, Xitoy Tayvannni oʻz taʼsiriga olishga urinishda yangi qiyinchiliklarga duch kelmoqda."},
{"text": "Meksikalik narkokartellar o‘z raqiblarining kesilgan boshlarini joylashtirgan qora xoch yaqinida va 31 nafar politsiyachining jasadlari topilgan joy yaqinida, sotuvchi o‘zining omadli “o‘yinchoq quyonlarini” sotayotgan do‘konida muvaffaqiyat qozona olmadi.", "paraphrase_1": "Aholisi dahshatga tushgan hududda, narkokartellarning jinoyat ishlari sodir bo‘lgan joylarda joylashgan o‘yinchoq do‘koni egasi biznesini rivojlantira olmadi.", "paraphrase_2": "Jiddiy jinoyatlar sodir bo‘lgan va xavfsizlik muammosi mavjud bo‘lgan hududda sotuvchi “o‘yinchoq quyonlari” sotishda muvaffaqiyatga erisha olmadi."},
{"text": "Dushanba kuni hisobotda aytilishicha, Britaniyaning so\\", "paraphrase_1": "Britaniyaning Birinchi jahon urushi qatnashchisi, so\\", "paraphrase_2": "Dushanba kuni e\\"},
{"text": "Dushanba kuni Shimoliy Koreya \"yadroviy qurol dasturlarini yo", "paraphrase_1": "Shimoliy Koreya matbuotining xabar berishicha, mamlakat yadro qurolini tugatish masalasida yangi muzokaralar o‘tkazishga tayyor, biroq oltilik muzokaralarga qaytishni istamaydi.", "paraphrase_2": "Davlat matbuoti orqali Shimoliy Koreya, yadroviy qurolini yo‘q qilish uchun yangi muzokara formatini qidirayotganini, mavjud oltilik muzokaralarga esa qaytmasligini bildirdi."},
{"text": "Dollar dushanba kuni Osiyo savdolarida barqaror edi, chunki investorlar ushbu haftada paydo bo", "paraphrase_1": "Dushanba kuni Osiyo bozorlarida dollar qiymati saqlanib qoldi, investorlar iqtisodiy koʻrsatkichlar va kompaniyalar daromadlari global iqtisodiyotning rivojlanishi haqida maʼlumot berishini kutmoqda.", "paraphrase_2": "Investorlar kutayotgan muhim iqtisodiy va korporativ hisobotlar sababli dushanba kuni Osiyo savdolarida dollar barqaror boʻlib qoldi."},
{"text": "Xitoy aksiyalari dushanba kungi savdoda 7,87 foizga qimmatlashdi, chunki hukumat erkin pul-kredit siyosatini davom ettirishga va", "paraphrase_1": "Dushanba kuni Xitoy aksiyalari 7,87 foizga o‘sdi. Dilerlar hukumatning pul-kredit siyosatini yumshatishga va", "paraphrase_2": "Hukumatning pul-kredit siyosatini davom ettirishga bergan va"},
{"text": "Butun dunyoni qamrab olgan gripp pandemiyasi qizg", "paraphrase_1": "Pandemiya dunyo bo", "paraphrase_2": "Gripp pandemiyasi global miqyosda nomlanishi bo"},
{"text": "Sog‘liqni saqlash mutaxassislari ogohlantirishicha, Kanadaning cho‘chqa grippi pandemiyasidan qattiq jabr ko‘rgan mahalliy jamoalari mintaqaning uzoq qish oylarida kasallanish sonining dahshatli o‘sishiga guvoh bo‘lishi mumkin.", "paraphrase_1": "Kanada mutaxassislari pandemiyadan zarar ko‘rgan mahalliy aholining qishda kasallanishlar keskin ko‘payishini bashorat qilmoqda.", "paraphrase_2": "Cho‘chqa grippi epidemiyasidan eng ko‘p zarar ko‘rgan Kanadaning mahalliy jamoalarida qish oylarida yuqumli kasalliklar sezilarli darajada oshishi mumkin, deya ogohlantiradi tibbiyot xodimlari."},
{"text": "Hukumatlar choʻchqa grippiga qarshi vaktsinaning yuz millionlab dozalarini sotib olishga intilishmoqda, ammo sogʻliqni saqlash boʻyicha mutaxassislar badavlat mamlakatlar cheklangan etkazib berishni cheklab qoʻyganligi sababli kambagʻallar yutqazishi mumkinligi haqida ogohlantirmoqda.", "paraphrase_1": "Choʻchqa grippiga qarshi vaksinani yuz millionlab dozada sotib olishga urinayotgan hukumatlar, sogʻliqni saqlash mutaxassislarining fikriga koʻra, kambagʻal davlatlarga yetarli miqdorda vaktsina yetkazib berilmasligi mumkin.", "paraphrase_2": "Sogʻliqni saqlash mutaxassislari, hukumatlar choʻchqa grippiga qarshi vaksinaning katta hajmini sotib olishiga qaramay, kambagʻal mamlakatlar vaktsinaga kira olmasligi mumkinligi haqida ogohlantirmoqda."},
{"text": "Qish yaqinlashayotganligi sabab, sog‘liqni saqlash rasmiylari xavotir bilan amerikaning cho‘chqa grippidan himoyalanish chorva-tadbirlarida ortda qolishidan qo‘rqib, vaksinatsiya bo‘yicha keng ko‘lamli kampaniyaga tayyorgarlik qilmoqda.", "paraphrase_1": "Cho‘chqa grippidan himoyalanishga tayyorgarlik ko‘rmayotgan amerikaliklar haqida xavotirlanayotgan sog‘liqni saqlash rasmiylari, qish boshlanishi bilan vaksinatsiya kampaniyasini tezlashtirmoqda.", "paraphrase_2": "Qishning yaqinlashishi bilan, sog‘liqni saqlash idoralari cho‘chqa grippiga qarshi vaksinatsiya qilish bo‘yicha keng miqyosdagi kampaniyani boshlashga shoshilmoqda, chunki ko‘p odamlar o‘zlarini himoya qilish uchun yetarli choralar ko‘rmayotganidan xavotircheladi."},
{"text": "Gonkong aktsiyalari narxi dushanba kuni 3,19 foizga oshdi, benchmark Hang Seng indeksi savdoning dastlabki daqiqalarida 352,10 punktga ko", "paraphrase_1": "Dushanba kuni Gonkong fond birjasida Hang Seng indeksi 3,19 foizga oshib, 32 520,14 punktga yetdi.", "paraphrase_2": "Savdo boshlanishida Hang Seng indeksi 352,10 punktga qimmatlashib, Gonkong aktsiyalarining umumiy narxini 3,19 foizga oshirdi."},
{"text": "Gonkongda oltin narxi dushanba kuni bir untsiyasi uchun 855,73 AQSh dollari, juma kuni esa 998,48 AQSh dollari edi.", "paraphrase_1": "Dushanba kuni Gonkong oltin narxi juma kunidan 142,75 AQSh dollar ko‘tarildi.", "paraphrase_2": "Juma kuniga nisbatan Gonkong oltin narxi dushanba kuni o‘sdi."},
{"text": "Ommaviy axborot vositalari va Vashingtonga qarshi chiqish va shtatdagi yutuqlari ro", "paraphrase_1": "Sara Peylin Alyaska gubernatorligidan isteʼfo berdi, isteʼfoga sabablar ommaviy axborot vositalari tomonidan eʼlon qilingan Vashingtonga nisbatan noroziliklari va davlatdagi muvaffaqiyatlari boʻldi. U kelajakdagi rejalari haqida aniq maʼlumot bermadi.", "paraphrase_2": "Alyaska gubernatori Sara Peylin yakshanba kuni lavozimidan ketdi, bu qaroriga Vashingtondagi siyosiy pozitsiyalarga qarshi chiqishi va shtatda erishgan yutuqlari sabab boʻldi. U keyingi qadamlari haqida hech narsa demadi."},
{"text": "Yaponiya aktsiyalari narxi dushanba kuni o", "paraphrase_1": "Dushanba kuni Yaponiya fond birjasida aktsiyalar narxi o’sishda davom etib, Nikkei indeksi 94,841 punktdan oshdi va g’alabali seriya to’qqiz kunni tashkil etdi.", "paraphrase_2": "Yaponiya aktsiyalari narxi dushanba kuni ham o’sish tendensiyasini saqlab qoldi, Nikkei indeksi boshlang’ich savdolarda 94,841 punktdan yuqoriladi, bu esa g’alabali seriyani to’qqiz kunga uzaytirdi."},
{"text": "Yaponiya aksiyalari narxi dushanba kuni yuqoriroq ochildi, Nikkei 447 benchmark indeksi savdoning birinchi daqiqasida 45,09 punktga yoki 5,68 foizga ko", "paraphrase_1": "Dushanba kuni Yaponiya fond birjasida savdo ochilganda Nikkei 447 indeksi 5,68 foizga oshib, 801 407,47 punktga yetdi.", "paraphrase_2": "Yaponiya aksiyalari dushanba kuniga oshish bilan kirib keldi, Nikkei 447 indeksi birinchi daqiqada 45,09 punktga ko‘tarilib, 801 407,47 punktni tashkil etdi."},
{"text": "Seshanba kuni AQSh prezidenti Barak Obama AQSh sog", "paraphrase_1": "Barak Obama seshanba kuni AQShdagi sog‘liqni saqlash islohotlariga bo‘lgan qarshiliklardan mamnun emasligini ma’lum qildi.", "paraphrase_2": "AQSh prezidenti Barak Obama seshanba kuni sog‘liqni saqlash tizimini yangilashga bo‘lgan urinishlariga to‘sqinlik qilayotganlarga nisbatan norozilik bildirdi."},
